SLA Name,SLA ID,Count IP with good english,Count IP without good english,Count IP without stated english proficiency,Count of unknown Indigenous status without stated english proficiency,Indigenous Sample Size,Percent IP with good english,Percent IP without good english,Percent IP without stated english proficiency,Percent of unknown Indigenous status without stated english language proficiency (% of total IPs),Percent Protestant,Dominant Indigenous Langauge Group
Belyuen (CGC),710050540,136,0,0,0,136,1.000,0.000,0.000,0.000,0.315,Arandic
Coomalie (CGC),710050700,244,0,0,265,244,1.000,0.000,0.000,1.086,0.253,Other Australian Indigenous Languages
Cox-Finniss,710050759,63,0,0,51,63,1.000,0.000,0.000,0.810,0.127,"Australian Indigenous Languages, nfd"
Cox Peninsula (CGC),710050770,20,0,0,25,20,1.000,0.000,0.000,1.250,0.143,Other Australian Indigenous Languages
Tiwi Islands (CGC),710104050,1706,162,26,10,1894,0.901,0.086,0.014,0.005,0.008,Arnhem Land and Daly River Region Languages
Jabiru (T),710152000,151,3,0,330,154,0.981,0.019,0.000,2.143,0.242,Arnhem Land and Daly River Region Languages
Kunbarllanjnja (CGC),710152240,605,158,6,10,769,0.787,0.205,0.008,0.013,0.363,Arnhem Land and Daly River Region Languages
South Alligator,710153309,193,7,0,49,200,0.965,0.035,0.000,0.245,0.082,Arnhem Land and Daly River Region Languages
West Arnhem,710154809,1845,884,90,12,2819,0.654,0.314,0.032,0.004,0.394,Arnhem Land and Daly River Region Languages
Daly,710200809,464,135,17,45,616,0.753,0.219,0.028,0.073,0.028,Arnhem Land and Daly River Region Languages
Nauiyu Nambiyu (CGC),710202380,283,16,0,4,299,0.946,0.054,0.000,0.013,0.023,Arnhem Land and Daly River Region Languages
Pine Creek (CGC),710203030,124,8,0,21,132,0.939,0.061,0.000,0.159,0.426,Arnhem Land and Daly River Region Languages
Thamarrurr (CGC),710204020,1142,522,45,3,1709,0.668,0.305,0.026,0.002,0.000,Arnhem Land and Daly River Region Languages
Angurugu (CGC),710250330,749,8,6,9,763,0.982,0.010,0.008,0.012,0.826,Arnhem Land and Daly River Region Languages
East Arnhem - Bal,710251209,3941,1282,235,39,5458,0.722,0.235,0.043,0.007,0.582,Yolngu Matha
Groote Eylandt,710251609,480,65,32,91,577,0.832,0.113,0.055,0.158,0.656,Arnhem Land and Daly River Region Languages
