timeofday,xjo,kospi,nikkei
10:01:00,-0.04206828,-0.00000001,-0.00000001
10:02:00,-0.03291508,-0.00000001,-0.00000001
10:03:00,-0.05944421,-0.00000001,-0.00000001
10:04:00,-0.06336871,-0.00000001,-0.00000001
10:05:00,-0.07429731,-0.00000001,-0.00000001
10:06:00,-0.06974070,-0.00000001,-0.00000001
10:07:00,-0.06225861,-0.00000001,-0.00000001
10:08:00,-0.06322567,-0.00000001,-0.00000001
10:09:00,-0.07064395,-0.00000001,-0.00000001
10:10:00,-0.08352937,-0.00000001,-0.00000001
10:11:00,-0.07949723,-0.00000001,-0.00000001
10:12:00,-0.07911571,-0.00000001,-0.00000001
10:13:00,-0.07405770,-0.00000001,-0.00000001
10:14:00,-0.07450490,-0.00000001,-0.00000001
10:15:00,-0.07755446,-0.00000001,-0.00000001
10:16:00,-0.10516677,-0.00000001,-0.00000001
10:17:00,-0.09423959,-0.00000001,-0.00000001
10:18:00,-0.12683270,-0.00000001,-0.00000001
10:19:00,-0.12628235,-0.00000001,-0.00000001
10:20:00,-0.12175909,-0.00000001,-0.00000001
10:21:00,-0.13119708,-0.00000001,-0.00000001
10:22:00,-0.16732529,-0.00000001,-0.00000001
10:23:00,-0.18592212,-0.00000001,-0.00000001
10:24:00,-0.17988117,-0.00000001,-0.00000001
10:25:00,-0.13251997,-0.00000001,-0.00000001
10:26:00,-0.13887012,-0.00000001,-0.00000001
10:27:00,-0.14491486,-0.00000001,-0.00000001
10:28:00,-0.12119105,-0.00000001,-0.00000001
10:29:00,-0.11845683,-0.00000001,-0.00000001
10:30:00,-0.09619194,-0.00000001,-0.00000001
10:31:00,-0.09965237,-0.00000001,-0.00000001
10:32:00,-0.11347656,-0.00000001,-0.00000001
10:33:00,-0.10681773,-0.00000001,-0.00000001
10:34:00,-0.11894671,-0.00000001,-0.00000001
10:35:00,-0.13345036,-0.00000001,-0.00000001
10:36:00,-0.11602670,-0.00000001,-0.00000001
10:37:00,-0.11142848,-0.00000001,-0.00000001
10:38:00,-0.11256275,-0.00000001,-0.00000001
10:39:00,-0.13688570,-0.00000001,-0.00000001
10:40:00,-0.13525555,-0.00000001,-0.00000001
10:41:00,-0.13122886,-0.00000001,-0.00000001
10:42:00,-0.13176022,-0.00000001,-0.00000001
10:43:00,-0.12517648,-0.00000001,-0.00000001
10:44:00,-0.09141070,-0.00000001,-0.00000001
10:45:00,-0.09541992,-0.00000001,-0.00000001
10:46:00,-0.10003581,-0.00000001,-0.00000001
10:47:00,-0.08955894,-0.00000001,-0.00000001
10:48:00,-0.08638986,-0.00000001,-0.00000001
10:49:00,-0.07872040,-0.00000001,-0.00000001
10:50:00,-0.07903252,-0.00000001,-0.00000001
10:51:00,-0.07450758,-0.00000001,-0.00000001
10:52:00,-0.08689685,-0.00000001,-0.00000001
10:53:00,-0.08762115,-0.00000001,-0.00000001
10:54:00,-0.08134097,-0.00000001,-0.00000001
10:55:00,-0.07387935,-0.00000001,-0.00000001
10:56:00,-0.06029916,-0.00000001,-0.00000001
10:57:00,-0.06259653,-0.00000001,-0.00000001
10:58:00,-0.06200418,-0.00000001,-0.00000001
10:59:00,-0.06270049,-0.00000001,-0.00000001
11:00:00,-0.06231573,0.00000000,0.00000000
11:01:00,-0.06178798,0.04443255,0.00184187
11:02:00,-0.05081133,0.05727162,0.01976171
11:03:00,-0.02834086,0.09949497,0.01793369
11:04:00,-0.02563724,0.04226461,0.02499709
11:05:00,-0.01261955,0.03584023,-0.06999864
11:06:00,-0.02582902,0.03529253,0.00820562
11:07:00,-0.02832224,0.05634498,0.01757425
11:08:00,-0.01138617,0.02662287,0.04711918
11:09:00,-0.01576437,0.03405313,0.04808151
11:10:00,-0.02186206,0.03448145,0.08411101
11:11:00,-0.00439510,0.05952953,0.09316990
11:12:00,0.02891408,0.11567230,0.08606777
11:13:00,0.01249718,0.09942557,0.09766046
11:14:00,0.01138744,0.11604858,0.10269104
11:15:00,0.02021286,0.09482156,0.10737944
11:16:00,0.01815022,0.10691499,0.11643560
11:17:00,0.00656274,0.09582843,0.04523155
11:18:00,0.00350863,0.07784417,0.00387180
11:19:00,0.00801357,0.01654326,-0.02114935
11:20:00,-0.01606930,-0.00617604,-0.01148292
11:21:00,0.03109652,-0.04253962,-0.05762381
11:22:00,0.02864319,-0.09433922,-0.06378498
11:23:00,0.04016343,-0.14127943,-0.03856088
11:24:00,0.03888242,-0.13881553,-0.01734511
11:25:00,0.02741584,-0.06793777,-0.01223840
11:26:00,0.03515578,-0.04968002,-0.00677570
11:27:00,0.02872737,-0.07197753,-0.02421261
11:28:00,0.02868931,-0.06067665,-0.03977713
11:29:00,0.02154193,-0.07070928,-0.03086982
11:30:00,0.00284634,-0.04948436,-0.01150488
11:31:00,-0.00082410,-0.11570256,-0.01412361
11:32:00,0.00008890,-0.12395284,-0.01239084
11:33:00,0.01983759,-0.17440116,-0.03831719
11:34:00,0.03154176,-0.22467304,-0.02979741
11:35:00,0.04086485,-0.23468679,-0.03684667
11:36:00,0.03992402,-0.21135280,-0.00246000
11:37:00,0.08591752,-0.11380122,-0.00137307
11:38:00,0.07803874,-0.10973738,-0.02252441
11:39:00,0.04529849,-0.08674759,0.00602794
11:40:00,0.04326512,-0.03035882,0.00689658
11:41:00,0.03955983,0.01000820,0.04327471
11:42:00,0.04355848,0.00668622,-0.00787624
11:43:00,0.04627407,0.07914100,-0.05854141
11:44:00,0.04807499,0.11213234,-0.08993549
11:45:00,0.05073816,0.18475751,-0.08587771
11:46:00,0.06352205,0.19731514,-0.08402449
11:47:00,0.07032820,0.22769495,-0.08445937
11:48:00,0.06302832,0.27973732,-0.09572621
11:49:00,0.08752557,0.27339842,-0.10441033
11:50:00,0.08926361,0.37277114,-0.08227985
11:51:00,0.09473749,0.38606979,-0.06963745
11:52:00,0.08239166,0.30043290,-0.07177782
11:53:00,0.06861758,0.23294741,-0.06867485
11:54:00,0.07367137,0.24396323,-0.08190434
11:55:00,0.06972762,0.27372362,-0.07633301
11:56:00,0.09494552,0.24444148,-0.04074707
11:57:00,0.09378267,0.17284836,-0.06063890
11:58:00,0.10122380,0.19389090,-0.08094688
11:59:00,0.10860383,0.17518659,-0.10159917
12:00:00,0.10450743,0.14625136,-0.09454595
12:01:00,0.09509924,0.23884433,-0.08778195
12:02:00,0.10148212,0.28236476,-0.08642693
12:03:00,0.08897021,0.28824464,-0.09597665
12:04:00,0.08737842,0.26122987,-0.09512091
12:05:00,0.08524025,0.24232094,-0.07022041
12:06:00,0.09766869,0.30377994,-0.05047102
12:07:00,0.09392216,0.23356780,-0.03983494
12:08:00,0.08275004,0.25258889,-0.01527877
12:09:00,0.08427680,0.21173466,0.01345650
12:10:00,0.08614796,0.16552934,0.01405809
12:11:00,0.08356236,0.15327628,0.00783730
12:12:00,0.09170831,0.07902588,0.00979652
